123,Joe,Doe,60000,
124,Martin,Chekov,45000,123
125,Bob,Ronstad,47000,123
300,Alice,Hasacat,50000,124
305,Brett,Hardleaf,34000,300
912,Arjun,Mehta,80000,123
845,Rahul,Sharma,50000,912
763,Neha,Verma,120000,912
658,Priya,Nair,72000,912
701,Amit,Kapoor,90000,912
432,Rohan,Das,40000,845
589,Sneha,Iyer,50000,845
276,Karan,Singh,30000,763
334,Anita,Patel,35000,763
915,Vikram,Reddy,60000,658
826,Meera,Joshi,60000,658
447,Suresh,Gupta,60000,701
590,Pooja,Chopra,60000,701
223,Deepak,Mishra,45000,432
678,Alok,Yadav,30000,432
754,Nikhil,Agarwal,30000,678
889,Shreya,Banerjee,30000,754
965,Ritu,Saxena,30000,889
342,Varun,Malhotra,30000,965
777,Kavita,Bansal,30000,342
